CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-16 12:50:19 ,2008-06-16 13:00:19 ,3.31,mean
2008-06-17 03:05:19 ,2008-06-17 03:15:19 ,NaN,mean
2008-06-16 13:05:19 ,2008-06-16 13:15:19 ,NaN,mean
2008-06-16 13:20:19 ,2008-06-16 13:30:19 ,39.92,mean
2008-06-17 03:20:19 ,2008-06-17 03:30:19 ,69.93,mean
2008-06-16 13:35:19 ,2008-06-16 13:45:19 ,69.93,mean
2008-06-16 13:50:19 ,2008-06-16 14:00:19 ,96.3,mean
2008-06-16 14:05:19 ,2008-06-16 14:15:19 ,NaN,mean
2008-06-17 03:35:19 ,2008-06-17 03:45:19 ,NaN,mean
2008-06-16 14:20:19 ,2008-06-16 14:30:19 ,363.7,mean
2008-06-17 03:50:19 ,2008-06-17 04:00:19 ,469.6,mean
2008-06-16 14:50:19 ,2008-06-16 15:00:19 ,570.1,mean
2008-06-16 15:05:19 ,2008-06-16 15:15:19 ,576,mean
2008-06-16 15:20:19 ,2008-06-16 15:30:19 ,795.3,mean
2008-06-16 15:35:19 ,2008-06-16 15:45:19 ,897,mean
2008-06-16 15:50:19 ,2008-06-16 16:00:19 ,1000,mean
2008-06-16 16:05:19 ,2008-06-16 16:15:19 ,1105,mean
2008-06-16 16:20:19 ,2008-06-16 16:30:19 ,1201,mean
2008-06-16 17:05:19 ,2008-06-16 17:15:19 ,1474,mean
2008-06-16 17:20:19 ,2008-06-16 17:30:19 ,1630,mean
2008-06-16 17:35:19 ,2008-06-16 17:45:19 ,1761,mean
2008-06-16 17:50:19 ,2008-06-16 18:00:19 ,1871,mean
2008-06-16 18:05:19 ,2008-06-16 18:15:19 ,1946,mean
2008-06-16 18:20:19 ,2008-06-16 18:30:19 ,1994,mean
2008-06-16 18:35:19 ,2008-06-16 18:45:19 ,2028,mean
2008-06-16 18:50:19 ,2008-06-16 19:00:19 ,2028,mean
2008-06-16 19:05:19 ,2008-06-16 19:15:19 ,2022,mean
2008-06-16 19:20:19 ,2008-06-16 19:30:19 ,1939,mean
2008-06-16 19:35:19 ,2008-06-16 19:45:19 ,1793,mean
2008-06-16 19:50:19 ,2008-06-16 20:00:19 ,1728,mean
2008-06-16 20:05:19 ,2008-06-16 20:15:19 ,1603,mean
2008-06-16 20:20:19 ,2008-06-16 20:30:19 ,1462,mean
2008-06-16 20:35:19 ,2008-06-16 20:45:19 ,1262,mean
2008-06-16 20:50:19 ,2008-06-16 21:00:19 ,1039,mean
2008-06-16 21:05:19 ,2008-06-16 21:15:19 ,834,mean
2008-06-16 21:20:19 ,2008-06-16 21:30:19 ,625.3,mean
2008-06-16 21:35:19 ,2008-06-16 21:45:19 ,410.6,mean
2008-06-16 21:50:19 ,2008-06-16 22:00:19 ,210,mean
2008-06-16 22:05:19 ,2008-06-16 22:15:19 ,60.33,mean
2008-06-16 22:20:19 ,2008-06-16 22:30:19 ,4.031,mean
2008-06-16 22:35:19 ,2008-06-16 22:45:19 ,0.04,mean
2008-06-16 22:50:19 ,2008-06-16 23:00:19 ,0.02,mean
2008-06-16 23:05:19 ,2008-06-16 23:15:19 ,0,mean
2008-06-16 23:20:19 ,2008-06-16 23:30:19 ,0,mean
2008-06-16 23:35:19 ,2008-06-16 23:45:19 ,0,mean
2008-06-16 23:50:19 ,2008-06-17 00:00:19 ,0,mean
2008-06-17 00:05:19 ,2008-06-17 00:15:19 ,0.585,mean
2008-06-17 00:20:19 ,2008-06-17 00:30:19 ,2.421,mean
2008-06-17 15:05:19 ,2008-06-17 15:15:19 ,585.5,mean
2008-06-17 15:50:19 ,2008-06-17 16:00:19 ,1027,mean
2008-06-17 16:05:19 ,2008-06-17 16:15:19 ,1128,mean
2008-06-17 16:20:19 ,2008-06-17 16:30:19 ,1226,mean
2008-06-17 16:35:19 ,2008-06-17 16:45:19 ,1318,mean
2008-06-17 16:50:19 ,2008-06-17 17:00:19 ,1408,mean
2008-06-17 17:05:19 ,2008-06-17 17:15:19 ,1494,mean
2008-06-17 17:20:19 ,2008-06-17 17:30:19 ,1574,mean
